event_id,year,month,day,latitude,longitude,location,region,magnitude,depth_km,earthquake_type,fault_type,tsunami_generated,tsunami_height_m,tsunami_intensity,flood_risk_index,population_density,seismic_zone,building_vulnerability,economic_risk,casualties,infrastructure_damage_million_usd,ocean_proximity_km,plate_boundary_type
IND20190612,2019,6,12,23,70.5,Bhuj Region,Gujarat,6.3,17,Interplate,Thrust,No,1.5,Weak,0.6,Medium,Zone V,High,Medium,34,15.2,50,Continental-Continental
IND20200213,2020,2,13,26.5,92.8,Guwahati,Assam,6.1,20,Interplate,Thrust,No,0.4,Weak,0.5,High,Zone V,High,Medium,28,11.5,200,Continental-Continental
IND20210321,2021,3,21,19.1,72.8,Mumbai Region,Maharashtra,5.5,10,Intraplate,Normal,No,0.9,Weak,0.7,Very High,Zone III,Very High,High,45,28.9,0,Intraplate
IND20211231,2021,12,31,9.2,92.8,Great Nicobar,Andaman,7.4,9,Interplate,Thrust,Yes,5.2,Strong,0.9,Low,Zone V,High,High,3,12.3,1,Oceanic-Continental
IND20220508,2022,5,8,28.6,77.1,Delhi NCR,Delhi,5,6,Intraplate,Normal,No,0,None,0.3,Very High,Zone IV,Very High,Medium,12,8.7,300,Intraplate
IND20230206,2023,2,6,22.3,70.8,Jamnagar,Gujarat,6.2,15,Interplate,Thrust,No,1.9,Weak,0.6,Medium,Zone V,High,Medium,23,9.8,45,Continental-Continental
IND20231117,2023,11,17,12.5,92.9,Little Andaman,Andaman,7,13,Interplate,Thrust,Yes,4.1,Strong,0.8,Low,Zone V,High,High,5,7.2,2,Oceanic-Continental
IND20240115,2024,1,15,26.4,92.9,Tezpur,Assam,6.5,16,Interplate,Thrust,No,0.6,Weak,0.5,Medium,Zone V,Medium,Medium,31,13.4,150,Continental-Continental
IND20240622,2024,6,22,15.4,73.8,Goa Coast,Goa,6.1,11,Intraplate,Normal,No,1.2,Weak,0.7,High,Zone III,Medium,Medium,8,4.6,0,Intraplate
IND20250315,2025,3,15,10.5,92.5,Andaman Islands,Andaman,7.6,12,Interplate,Thrust,Yes,6.8,Strong,0.9,Low,Zone V,High,High,15,25.8,2,Oceanic-Continental
